,股票代號,公司名稱,上市日期,股價,SMA 10,SMA 50,SMA 100,SMA 250,RSI 10,RSI 14,RSI 20,MACD 8/17,MACD 12/25,成交量
0,00829.HK,神冠控股,2009/10/13,265.0,0.268,0.262,0.246,0.247,45.279,48.056,50.323,-0.002,0.001,0.00
0,00830.HK,中國建築興,2010/03/30,0.67,0.644,0.566,0.619,0.741,75.795,72.151,66.613,0.028,0.029,2.80萬
0,00831.HK,利亞零售,2001/01/18,510.0,3.488,3.515,3.365,3.337,52.688,51.626,51.792,-0.001,-0.004,9.00萬
0,00832.HK,建業地產,2008/06/06,3.64,3.734,3.946,4.173,3.945,36.882,38.9,40.809,-0.076,-0.088,2.22百萬
0,00833.HK,華訊,2005/07/15,530.0,0.531,0.439,0.416,0.578,50.934,52.754,53.978,0.005,0.016,0.00
0,00834.HK,康大食品,2008/12/22,400.0,0.404,0.467,0.617,0.65,46.389,44.322,41.927,-0.003,-0.013,0.00
0,00836.HK,華潤電力,2003/11/12,9.41,9.335,8.913,9.203,10.004,62.09,60.144,57.483,0.144,0.16,6.80百萬
0,00837.HK,譚木匠,2009/12/29,4.31,4.322,4.39,4.484,4.273,44.02,44.353,45.378,-0.041,-0.042,2.95萬
0,00838.HK,億和控股,2005/05/11,420.0,0.427,0.457,0.506,0.581,41.585,41.553,41.694,-0.008,-0.011,0.00
0,00839.HK,中教控股,2017/12/15,12.6,12.996,12.515,11.566,11.425,36.087,42.396,47.665,-0.153,-0.013,2.41百萬
0,00840.HK,天業節水,2008/01/24,300.0,0.302,0.308,0.315,0.335,47.62,48.358,48.785,-0.002,-0.001,0.00
0,00841.HK,木薯資源,2009/03/23,0.196,0.202,0.244,0.282,0.352,36.484,37.19,38.374,-0.008,-0.012,4.00萬
0,00842.HK,理士國際,-,-,-,-,-,-,-,-,-,-,-,14.50萬
0,00844.HK,廣泰國際控,2011/11/24,500.0,0.471,0.449,0.528,0.613,58.88,56.772,54.239,0.016,0.019,1.60萬
0,00845.HK,恆盛地產,2009/10/02,0.174,0.165,0.148,0.159,0.251,74.836,71.544,66.187,0.005,0.006,16.00萬
0,00846.HK,明發集團,2009/11/13,890.0,1.901,1.903,1.904,2.017,46.125,47.498,48.397,-0.003,-0.002,0.00
0,00848.HK,茂業國際,2008/05/05,0.39,0.368,0.355,0.416,0.479,64.709,61.634,57.696,0.005,0.004,2.57百萬
0,00850.HK,久康國際,2002/11/13,118.0,0.123,0.139,0.133,0.135,19.893,25.965,32.235,-0.005,-0.006,0.00
0,00851.HK,盛源控股,1998/12/02,0.031,0.031,0.067,0.084,0.118,39.998,36.722,35.658,-0.003,-0.008,25.00萬
0,00852.HK,海峽石油化,2009/01/12,400.0,0.406,0.432,0.434,0.417,39.317,41.222,43.508,-0.007,-0.009,27.20萬
0,00853.HK,微創醫療,2010/09/24,25.9,23.515,20.344,16.296,10.926,68.208,65.533,63.858,0.82,1.068,1.39千萬
0,00854.HK,威雅利,2013/12/06,900.0,1.945,2.697,3.042,4.203,38.076,37.0,37.106,-0.17,-0.233,0.00
0,00855.HK,中國水務,1999/10/11,5.49,5.397,5.66,5.924,6.188,54.079,50.821,48.418,-0.026,-0.068,1.55百萬
0,00856.HK,偉仕佳杰,2002/05/09,3.56,3.522,3.561,3.583,3.848,54.256,52.473,51.244,-0.004,-0.011,2.05百萬
0,00857.HK,中國石油股,2000/04/07,2.75,2.759,2.739,2.913,3.56,52.435,51.812,50.711,0.001,0.006,1.50億
0,00858.HK,精優藥業,1999/03/10,96.0,0.084,0.086,0.101,0.09,72.985,66.917,60.215,0.003,0.001,9.57百萬
0,00859.HK,中昌國際控,2000/06/15,500.0,0.496,0.535,0.48,0.646,37.368,39.468,43.563,-0.007,-0.009,0.00
0,00860.HK,力世紀,-,-,-,-,-,-,-,-,-,-,-,3.57百萬
0,00861.HK,神州控股,2001/06/01,4.88,4.441,4.161,4.021,4.117,73.237,70.001,67.322,0.107,0.106,6.88百萬
0,00862.HK,遠見控股,1998/10/14,290.0,0.271,0.28,0.259,0.247,57.928,55.858,54.411,0.002,0.005,3.60萬
0,00863.HK,ＢＣ科技集,2012/04/27,7.61,7.337,6.384,6.773,6.33,72.935,72.913,70.271,0.449,0.434,6.15萬
